last_name,first_name,team,position,draft_year,debut_date,birthdate,age_exact,age
Alberto,Hanser,BAL,3B,2009,5/29/2015,1992-10-17,27.03835616438356,27
Armstrong,Shawn,BAL,P,2011,8/08/2015,1990-09-11,29.136986301369863,29
Bleier,Richard,BAL,P,2008,5/30/2016,1987-04-16,32.54246575342466,32
Brooks,Aaron,BAL,P,2011,5/03/2014,1990-04-27,29.512328767123286,29
Bundy,Dylan,BAL,P,2011,9/23/2012,1992-11-15,26.961284527284977,26
Castro,Miguel,BAL,P,2012,4/06/2015,1994-12-24,24.852054794520548,24
Davis,Chris,BAL,1B,2006,6/26/2008,1986-03-17,33.62465753424657,33
Fry,Paul,BAL,P,2013,6/29/2018,1992-07-26,27.265753424657536,27
Givens,Mychal,BAL,P,2009,6/24/2015,1990-05-13,29.46849315068493,29
Harvey,Hunter,BAL,P,2013,8/17/2019,1994-12-09,24.893150684931506,24
Hays,Austin,BAL,RF,2016,9/07/2017,1995-07-05,24.323287671232876,24
Hess,David,BAL,P,2014,5/12/2018,1993-07-10,26.30958904109589,26
Kline,Branden,BAL,P,Undrafted,4/20/2019,1991-09-29,28.087671232876712,28
Mancini,Trey,BAL,RF,2013,9/20/2016,1992-03-18,27.621917808219177,27
Martin,Richie,BAL,SS,Undrafted,3/28/2019,1994-12-22,24.85753424657534,24
Means,John,BAL,P,Undrafted,9/26/2018,1993-04-24,26.52054794520548,26
Núñez,Renato,BAL,1B,2010,9/12/2016,1994-04-04,25.575342465753426,25
Phillips,Evan,BAL,P,2015,7/03/2018,1994-09-11,25.136986301369863,25
Ruiz,Rio,BAL,3B,2012,9/18/2016,1994-05-22,25.443835616438356,25
Santander,Anthony,BAL,LF,2011,8/18/2017,1994-10-19,25.03287671232877,25
Scott,Tanner,BAL,P,2014,9/20/2017,1994-07-22,25.276712328767122,25
Severino,Pedro,BAL,C,2010,9/20/2015,1993-07-20,26.28219178082192,26
Sisco,Chance,BAL,C,2013,9/02/2017,1995-02-24,24.682191780821917,24
Smith,Jr,BAL,LF,2011,5/18/2017,1992-10-26,27.013698630136986,27
Stewart,DJ,BAL,RF,Undrafted,9/12/2018,1993-11-30,25.91780821917808,25
Barnes,Matt,BOS,P,2011,9/09/2014,1990-06-17,29.372602739726027,29
Benintendi,Andrew,BOS,LF,2015,8/02/2016,1994-07-06,25.32054794520548,25
Betts,Mookie,BOS,RF,2011,6/29/2014,1992-10-07,27.065753424657533,27
Bogaerts,Xander,BOS,SS,2009,8/20/2013,1992-10-01,27.08219178082192,27
Bradley,Jr,BOS,CF,2011,4/01/2013,1990-04-19,29.534246575342465,29
Brasier,Ryan,BOS,P,2007,5/02/2013,1987-08-26,32.18082191780822,32
Brewer,Colten,BOS,P,2011,4/12/2018,1992-10-29,27.005479452054793,27
Cashner,Andrew,BOS,P,2008,5/31/2010,1986-09-11,33.136986301369866,33
Centeno,Juan,BOS,C,2007,9/18/2013,1989-11-16,29.956164383561642,29
Chacín,Jhoulys,BOS,P,2004,7/25/2009,1988-01-07,31.813698630136987,31
Devers,Rafael,BOS,3B,2013,7/25/2017,1996-10-24,23.019178082191782,23
Eovaldi,Nathan,BOS,P,2008,8/06/2011,1990-02-13,29.71232876712329,29
Hembree,Heath,BOS,P,2010,9/03/2013,1989-01-13,30.797260273972604,30
Hernandez,Darwinzon,BOS,P,Undrafted,4/23/2019,1996-12-17,22.873852833295906,22
Hernández,Marco,BOS,2B,2009,4/17/2016,1992-09-06,27.15068493150685,27
Holt,Brock,BOS,2B,2009,9/01/2012,1988-06-11,31.389041095890413,31
Johnson,Brian,BOS,P,2012,7/21/2015,1990-12-07,28.898630136986302,28
Kelley,Trevor,BOS,P,Undrafted,7/02/2019,1993-10-20,26.03013698630137,26
Lakins,Travis,BOS,P,Undrafted,4/23/2019,1994-06-29,25.339726027397262,25
León,Sandy,BOS,C,2007,5/14/2012,1989-03-13,30.635616438356166,30
Martinez,J,BOS,DH,2009,7/30/2011,1987-08-21,32.1945205479452,32
Moreland,Mitch,BOS,1B,2007,7/29/2010,1985-09-06,34.15068493150685,34
Porcello,Rick,BOS,P,2007,4/09/2009,1988-12-27,30.84653042892432,30
Poyner,Bobby,BOS,P,2015,3/31/2018,1992-12-01,26.91756868029044,26
Price,David,BOS,P,2007,9/14/2008,1985-08-26,34.18082191780822,34
Allen,Greg,CLE,CF,2014,9/01/2017,1993-03-15,26.63013698630137,26
Bauers,Jake,CLE,LF,2013,6/07/2018,1995-10-06,24.068493150684933,24
Bieber,Shane,CLE,P,2016,5/31/2018,1995-05-31,24.41917808219178,24
Carrasco,Carlos,CLE,P,2003,9/01/2009,1987-03-21,32.61369863013699,32
Chang,Yu,CLE,SS,Undrafted,6/29/2019,1995-08-18,24.202739726027396,24
Cimber,Adam,CLE,P,2013,3/29/2018,1990-08-15,29.21095890410959,29
Civale,Aaron,CLE,P,Undrafted,6/22/2019,1995-06-12,24.386301369863013,24
Clevinger,Mike,CLE,P,2011,5/18/2016,1990-12-21,28.86027397260274,28
Clippard,Tyler,CLE,P,2003,5/20/2007,1985-02-14,34.70958904109589,34
Flaherty,Ryan,CLE,3B,2008,4/07/2012,1986-07-27,33.26301369863014,33
Freeman,Mike,CLE,SS,2010,7/17/2016,1987-08-04,32.24109589041096,32
Goody,Nick,CLE,P,2012,7/30/2015,1991-07-06,28.32054794520548,28
